Titik,Menit Putaran,Cd,Cr,Cu,Pb,Media,Rotations Per Minute (RPM)
4,0,0.26,0.44,0.38,0.35,Air (mg/L),50
4,2,0.06,0.49,0.2,0.31,Air (mg/L),50
4,4,0.04,0.32,0.15,0.3,Air (mg/L),50
4,6,0.02,0.17,0.02,0.1,Air (mg/L),50
4,12,0.01,0.12,0.09,0.09,Air (mg/L),50
4,24,0.01,0.2,0.09,0.07,Air (mg/L),50
4,48,0.01,0.13,0.09,0.33,Air (mg/L),50
4,72,0.02,0.12,0.17,0.21,Air (mg/L),50
4,96,0.03,0.2,0.08,0.03,Air (mg/L),50
4,120,0.01,0.13,0.13,0.05,Air (mg/L),50
4,0,13.31,133.81,180.39,50.27,Sedimen (mg/kg),50
4,2,13.8,145.41,174.63,35.19,Sedimen (mg/kg),50
4,4,12,134.25,22.53,3.25,Sedimen (mg/kg),50
4,6,11.83,121.75,205.47,44.64,Sedimen (mg/kg),50
4,12,12.1,134.4,209.15,46.54,Sedimen (mg/kg),50
4,24,14.41,145.55,217.03,47.87,Sedimen (mg/kg),50
4,48,14.08,141.61,229.08,57.87,Sedimen (mg/kg),50
4,72,13.3,131.89,154.72,37.28,Sedimen (mg/kg),50
4,96,13.01,2.48,26.87,7.95,Sedimen (mg/kg),50
4,120,13.72,140.48,149.25,51.86,Sedimen (mg/kg),50
4,0,0.1,0.32,1.82,0.33,F1 (mg/kg),50
4,2,0.09,0.06,1.16,0.11,F1 (mg/kg),50
4,4,0.05,0.04,1.48,0.06,F1 (mg/kg),50
4,6,0.07,0.02,1.74,0.28,F1 (mg/kg),50
4,12,0.02,0.02,1.73,0.42,F1 (mg/kg),50
4,24,0.02,0,1.74,0.42,F1 (mg/kg),50
4,48,0.1,0.01,1.87,0.16,F1 (mg/kg),50
4,72,0.03,0.02,1.09,0.07,F1 (mg/kg),50
4,96,0.03,0.08,0.85,0.23,F1 (mg/kg),50
4,120,0.08,0.07,1.01,0.38,F1 (mg/kg),50
4,0,0.04,0.12,0.13,0.03,Air (mg/L),100
4,2,0,0.1,0.11,0.16,Air (mg/L),100
4,4,0.01,0.11,0.1,0.18,Air (mg/L),100
4,6,0.03,0.11,0.11,0.02,Air (mg/L),100
4,12,0.02,0.22,0.51,0.07,Air (mg/L),100
4,24,0.02,0.32,0.83,0.19,Air (mg/L),100
4,48,0.02,0.17,0.22,0.02,Air (mg/L),100
4,72,0.01,0.12,0.09,0.02,Air (mg/L),100
4,96,0.02,0.17,0.1,0.14,Air (mg/L),100
4,120,0.02,0.19,0.16,0.2,Air (mg/L),100
4,0,14.18,136.51,147.27,40.37,Sedimen (mg/kg),100
4,2,13.03,35.28,85.92,29.97,Sedimen (mg/kg),100
4,4,12.3,123.45,126.91,40.24,Sedimen (mg/kg),100
4,6,9,94.69,92.91,25.54,Sedimen (mg/kg),100
4,12,9.8,125,128.1,36,Sedimen (mg/kg),100
4,24,13.66,137.21,142.81,41.6,Sedimen (mg/kg),100
4,48,13.47,136.35,141.8,44.13,Sedimen (mg/kg),100
4,72,13.03,35,110.94,29.74,Sedimen (mg/kg),100
4,96,13.75,134.6,147.68,39.47,Sedimen (mg/kg),100
4,120,12.9,125.73,136.04,38.04,Sedimen (mg/kg),100
4,0,0.06,0.02,0.77,0.08,F1 (mg/kg),100
4,2,0.07,0.01,0.83,0.07,F1 (mg/kg),100
4,4,0.04,0.06,0.79,0.5,F1 (mg/kg),100
4,6,0.09,0.01,0.74,0.12,F1 (mg/kg),100
4,12,0.1,0.04,0.77,0.03,F1 (mg/kg),100
4,24,0.04,0.04,0.76,0.05,F1 (mg/kg),100
4,48,0.06,0.04,0.76,0.41,F1 (mg/kg),100
4,72,0.05,0.05,0.87,0.15,F1 (mg/kg),100
4,96,0.06,0.04,0.76,0.22,F1 (mg/kg),100
4,120,0.08,0.04,0.83,0.59,F1 (mg/kg),100
6,0,0.01,0.23,0.2,0.48,Air (mg/L),50
6,2,0.01,0.16,0.1,0.21,Air (mg/L),50
6,4,0,0.11,0.04,0.12,Air (mg/L),50
6,6,0.05,0.06,0.17,0.46,Air (mg/L),50
6,12,0.05,0.07,0.17,0.46,Air (mg/L),50
6,24,0.01,0.04,0.04,-0.08,Air (mg/L),50
6,48,0,0.07,0.05,-0.19,Air (mg/L),50
6,72,0,0.21,0.02,0.04,Air (mg/L),50
